1,"Goroka Airport","Goroka","Papua New Guinea",-6.08169,145.392
2,"Madang Airport","Madang","Papua New Guinea",-5.20708,145.789
3,"Mount Hagen Kagamuga Airport","Mount Hagen","Papua New Guinea",-5.82679,144.296
4,"Nadzab Airport","Nadzab","Papua New Guinea",-6.5698,146.726
5,"Port Moresby Jacksons International Airport","Port Moresby","Papua New Guinea",-9.44338,147.22
6,"Wewak International Airport","Wewak","Papua New Guinea",-3.58383,143.669
7,"Narsarsuaq Airport","Narssarssuaq","Greenland",61.1605,-45.426
8,"Godthaab / Nuuk Airport","Godthaab","Greenland",64.1909,-51.6781
9,"Kangerlussuaq Airport","Sondrestrom","Greenland",67.0122,-50.7116
10,"Thule Air Base","Thule","Greenland",76.5312,-68.7032
11,"Akureyri Airport","Akureyri","Iceland",65.66,-18.0727
12,"Egilsstaðir Airport","Egilsstadir","Iceland",65.2833,-14.4014
13,"Hornafjörður Airport","Hofn","Iceland",64.2956,-15.2272
14,"Húsavík Airport","Husavik","Iceland",65.9523,-17.426
15,"Ísafjörður Airport","Isafjordur","Iceland",66.0581,-23.1353
16,"Keflavik International Airport","Keflavik","Iceland",63.985,-22.6056
17,"Patreksfjörður Airport","Patreksfjordur","Iceland",65.5558,-23.965
18,"Reykjavik Airport","Reykjavik","Iceland",64.13,-21.9406
19,"Siglufjörður Airport","Siglufjordur","Iceland",66.1333,-18.9167
20,"Vestmannaeyjar Airport","Vestmannaeyjar","Iceland",63.4243,-20.2789
21,"Sault Ste Marie Airport","Sault Sainte Marie","Canada",46.485,-84.5094
22,"Winnipeg / St. Andrews Airport","Winnipeg","Canada",50.0564,-97.0325
23,"Halifax / CFB Shearwater Heliport","Halifax","Canada",44.6397,-63.4994
24,"St. Anthony Airport","St. Anthony","Canada",51.3919,-56.0831
25,"Tofino / Long Beach Airport","Tofino","Canada",49.0798,-125.776
26,"Kugaaruk Airport","Pelly Bay","Canada",68.5344,-89.8081
27,"Baie Comeau Airport","Baie Comeau","Canada",49.1325,-68.2044
28,"CFB Bagotville","Bagotville","Canada",48.3306,-70.9964
29,"Baker Lake Airport","Baker Lake","Canada",64.2989,-96.0778
30,"Campbell River Airport","Campbell River","Canada",49.9508,-125.271
31,"Brandon Municipal Airport","Brandon","Canada",49.91,-99.9519
32,"Cambridge Bay Airport","Cambridge Bay","Canada",69.1081,-105.138
33,"Nanaimo Airport","Nanaimo","Canada",49.055,-123.87
34,"Castlegar/West Kootenay Regional Airport","Castlegar","Canada",49.2964,-117.632
35,"Miramichi Airport","Chatham","Canada",47.0078,-65.4492
36,"Charlo Airport","Charlo","Canada",47.9908,-66.3303
37,"Kugluktuk Airport","Coppermine","Canada",67.8167,-115.144
38,"Coronation Airport","Coronation","Canada",52.075,-111.445
39,"Chilliwack Airport","Chilliwack","Canada",49.1528,-121.939
40,"Clyde River Airport","Clyde River","Canada",70.4861,-68.5167
41,"Coral Harbour Airport","Coral Harbour","Canada",64.1933,-83.3594
42,"Dawson City Airport","Dawson","Canada",64.0431,-139.128
43,"Burwash Airport","Burwash","Canada",61.3711,-139.041
44,"Princeton Airport","Princeton","Canada",49.4681,-120.511
45,"Deer Lake Airport","Deer Lake","Canada",49.2108,-57.3914
46,"Dease Lake Airport","Dease Lake","Canada",58.4222,-130.032
47,"Dauphin Barker Airport","Dauphin","Canada",51.1008,-100.052
48,"Dawson Creek Airport","Dawson Creek","Canada",55.7423,-120.183
49,"Edmonton International Airport","Edmonton","Canada",53.3097,-113.58
50,"Arviat Airport","Eskimo Point","Canada",61.0942,-94.0708
51,"Estevan Airport","Estevan","Canada",49.2103,-102.966
52,"Edson Airport","Edson","Canada",53.5789,-116.465
53,"Eureka Airport","Eureka","Canada",79.9947,-85.8142
54,"Inuvik Mike Zubko Airport","Inuvik","Canada",68.3042,-133.483
55,"Iqaluit Airport","Iqaluit","Canada",63.7564,-68.5558
56,"Fredericton Airport","Fredericton","Canada",45.8689,-66.5372
57,"Forestville Airport","Forestville","Canada",48.7461,-69.0972
58,"Flin Flon Airport","Flin Flon","Canada",54.6781,-101.682
59,"Fort Resolution Airport","Fort Resolution","Canada",61.1808,-113.69
60,"Fort Simpson Airport","Fort Simpson","Canada",61.7602,-121.237
61,"Kingston Norman Rogers Airport","Kingston","Canada",44.2253,-76.5969
62,"La Grande Rivière Airport","La Grande Riviere","Canada",53.6253,-77.7042
63,"Gaspé (Michel-Pouliot) Airport","Gaspe","Canada",48.7753,-64.4786
64,"Geraldton Greenstone Regional Airport","Geraldton","Canada",49.7783,-86.9394
65,"Îles-de-la-Madeleine Airport","Iles De La Madeleine","Canada",47.4247,-61.7781
66,"Hudson Bay Airport","Hudson Bay","Canada",52.8167,-102.311
67,"Dryden Regional Airport","Dryden","Canada",49.8317,-92.7442
68,"Ulukhaktok Holman Airport","Holman Island","Canada",70.7628,-117.806
69,"Gjoa Haven Airport","Gjoa Haven","Canada",68.6356,-95.8497
70,"John C. Munro Hamilton International Airport","Hamilton","Canada",43.1736,-79.935
71,"Montréal / Saint-Hubert Airport","Montreal","Canada",45.5175,-73.4169
72,"Hay River / Merlyn Carter Airport","Hay River","Canada",60.8397,-115.783
73,"Halifax / Stanfield International Airport","Halifax","Canada",44.8808,-63.5086
74,"Atikokan Municipal Airport","Atikokan","Canada",48.7739,-91.6386
75,"Pond Inlet Airport","Pond Inlet","Canada",72.6833,-77.9667
76,"St Jean Airport","St. Jean","Canada",45.2944,-73.2811
77,"Stephenville Airport","Stephenville","Canada",48.5442,-58.55
78,"Kamloops Airport","Kamloops","Canada",50.7022,-120.444
79,"Waterloo Airport","Waterloo","Canada",43.4608,-80.3786
80,"Schefferville Airport","Schefferville","Canada",54.8053,-66.8053
81,"Kindersley Airport","Kindersley","Canada",51.5175,-109.181
82,"Buttonville Municipal Airport","Toronto","Canada",43.8622,-79.37
83,"Chapleau Airport","Chapleau","Canada",47.82,-83.3467
84,"Meadow Lake Airport","Meadow Lake","Canada",54.1253,-108.523
85,"Lloydminster Airport","Lloydminster","Canada",53.3092,-110.073
86,"Alert Airport","Alert","Canada",82.5178,-62.2806
87,"Kelowna International Airport","Kelowna","Canada",49.9561,-119.378
88,"Mayo Airport","Mayo","Canada",63.6164,-135.868
89,"Moose Jaw Air Vice Marshal C. M. McEwen Airport","Moose Jaw","Canada",50.3303,-105.559
90,"Fort McMurray Airport","Fort Mcmurray","Canada",56.6533,-111.222
91,"Moosonee Airport","Moosonee","Canada",51.2911,-80.6078
92,"Maniwaki Airport","Maniwaki","Canada",46.2728,-75.9906
93,"Montreal International (Mirabel) Airport","Montreal","Canada",45.6795,-74.0387
94,"Natashquan Airport","Natashquan","Canada",50.19,-61.7892
95,"Ottawa / Gatineau Airport","Gatineau","Canada",45.5217,-75.5636
96,"Matagami Airport","Matagami","Canada",49.7617,-77.8028
97,"Old Crow Airport","Old Crow","Canada",67.5706,-139.839
98,"CFB Cold Lake","Cold Lake","Canada",54.405,-110.279
99,"High Level Airport","High Level","Canada",58.6214,-117.165
100,"Ottawa Macdonald-Cartier International Airport","Ottawa","Canada",45.3225,-75.6692
101,"Prince Albert Glass Field","Prince Albert","Canada",53.2142,-105.673
102,"Peace River Airport","Peace River","Canada",56.2269,-117.447
103,"Southport Airport","Portage-la-prairie","Canada",49.9031,-98.2738
104,"Pitt Meadows Airport","Pitt Meadows","Canada",49.2161,-122.71
105,"Pickle Lake Airport","Pickle Lake","Canada",51.4464,-90.2142
106,"Port Menier Airport","Port Menier","Canada",49.8364,-64.2886
107,"Peterborough Airport","Peterborough","Canada",44.23,-78.3633
108,"Prince Rupert Airport","Prince Pupert","Canada",54.2861,-130.445
109,"Fort Chipewyan Airport","Fort Chipewyan","Canada",58.7672,-111.117
110,"Muskoka Airport","Muskoka","Canada",44.9747,-79.3033
